customer_id,bureau_score,dpd_15_count_6m,dpd_30_count_6m,dpd_90_count_6m,dpd_30_count_3m,active_loans_count,total_emi_monthly,total_credit_6m,total_debit_6m,avg_monthly_balance_6m,net_cash_surplus_6m,inward_bounce_count_3m,avg_salary_6m,salary_txn_count_6m,salary_amount_cv,salary_date_std,salary_creditor_consistent,salary_missing_months,salary_stability_flag,liquidity_flag,bureau_risk_flag,hard_reject_flag,risk_score,loan_decision,decision_reason
CUST_000001,745,0,0,0,0,3,44487,109512,385967,106320,-276455,0,20000,6,0.06,3.3,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000002,744,0,0,0,0,5,26190,114250,293522,0,-179272,0,20000,6,0.08,3.0,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000003,744,0,0,0,0,5,26486,941496,275085,0,666411,0,159453,6,0.04,2.5,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000004,742,0,0,0,0,3,37250,1074973,330589,44077,744384,0,179789,6,0.1,1.6,1,0,STABLE,MODERATE,LOW,0,93,APPROVE,Strong profile
CUST_000005,752,0,0,0,0,7,18469,114198,266316,0,-152118,0,20000,6,0.08,2.3,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000006,755,0,0,0,0,1,33108,121153,341031,0,-219878,0,20000,6,0.09,3.3,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000007,742,0,0,0,0,8,42940,2255212,415068,0,1840144,0,374317,6,0.09,3.3,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000008,751,0,0,0,0,1,38282,910729,364264,0,546465,1,152096,6,0.06,1.8,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000009,749,0,0,0,0,2,5000,4239505,162714,63580,4076791,0,708047,6,0.09,3.3,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000010,748,0,0,0,0,8,31713,1193902,292477,27455,901425,0,196160,6,0.03,3.2,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000011,742,0,0,0,0,6,33899,1651315,319909,71041,1331406,0,277878,6,0.1,2.7,1,0,STABLE,ADEQUATE,LOW,0,100,APPROVE,Strong profile
CUST_000012,746,0,0,0,0,7,19433,136962,250110,0,-113148,0,20000,6,0.08,2.4,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000013,739,0,0,0,0,1,47826,128398,397751,0,-269353,0,20000,6,0.08,2.6,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
CUST_000014,746,0,0,0,0,1,25009,2756325,319535,0,2436790,1,461423,6,0.07,2.2,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000015,750,0,0,0,0,7,31511,1284686,388422,30963,896264,1,217117,6,0.06,3.3,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000016,745,0,0,0,0,1,57127,567350,480418,0,86932,1,92253,6,0.05,2.8,1,0,STABLE,LOW,LOW,0,75,APPROVE,Strong profile
CUST_000017,748,0,0,0,0,1,11252,1056308,193489,0,862819,0,177831,6,0.07,2.0,1,0,STABLE,LOW,LOW,0,85,APPROVE,Strong profile
